name,url,district,address,grades,phone,website,page_number
Academy at Carrie F Thomas,https://txschools.gov/?view=school&id=220902116&lng=en,Birdville ISD,"8200 O'brian Way, North Richland Hills, TX 76180",Prekindergarten - Grade 5,(817) 547-3000,http://www.birdvilleschools.net,2
Academy at Nola Dunn,https://txschools.gov/?view=school&id=126902101&lng=en,Burleson ISD,"201 S Dobson St, Burleson, TX 76028",Kindergarten - Grade 5,(817) 245-3300,http://academy.burlesonisd.net/,2
Academy of Dallas,https://txschools.gov/?view=school&id=057810101&lng=en,Academy of Dallas,"2324 S Vernon Ave, Dallas, TX 75224",Prekindergarten - Grade 8,(214) 371-9600,http://academyofdallas.com,2
Accelerated Interdisciplinary Acad,https://txschools.gov/?view=school&id=101849101&lng=en,Accelerated Intermediate Academy,"12825 Summit Rdg Dr, Houston, TX 77085",Prekindergarten - Grade 6,(713) 728-9330,http://www.aiacharterschools.org,2
Achziger Elem,https://txschools.gov/?view=school&id=057914132&lng=en,Mesquite ISD,"3300 Ridgeranch Rd, Mesquite, TX 75181",Early Education - Grade 5,(972) 290-4180,http://www.mesquiteisd.org,2
Acton Elem,https://txschools.gov/?view=school&id=111901102&lng=en,Granbury ISD,"3200 Acton Rd, Granbury, TX 76049",Kindergarten - Grade 5,(817) 408-4200,http://www.granburyisd.org,2
Ada Mae Faubion Elem,https://txschools.gov/?view=school&id=246913102&lng=en,Leander ISD,"1209 Cypress Creek Rd, Cedar Park, TX 78613",Early Education - Grade 5,(512) 570-7500,,2
Adam Elem,https://txschools.gov/?view=school&id=101907107&lng=en,Cypress-Fairbanks ISD,"11303 Honeygrove Ln, Houston, TX 77065",Early Education - Grade 5,(281) 897-4485,http://www.cfisd.net,2
Adams Elem,https://txschools.gov/?view=school&id=126903101&lng=en,Cleburne ISD,"1492 Is Grove Rd, Cleburne, TX 76031",Prekindergarten - Grade 5,(817) 202-2000,http://c-isd.com,2
Adams Elem,https://txschools.gov/?view=school&id=220901161&lng=en,Arlington ISD,"2220 Sherry St, Arlington, TX 76010",Early Education - Grade 6,(682) 867-2130,http://www.aisd.net/adams-elementary,2
Adams Hill Elem,https://txschools.gov/?view=school&id=015915123&lng=en,Northside ISD,"9627 Adams Hill Dr, San Antonio, TX 78245",Prekindergarten - Grade 5,(210) 397-1400,http://nisd.net,2
Adelfa Botello Callejo Elem,https://txschools.gov/?view=school&id=057905247&lng=en,Dallas ISD,"7817 Military Pkwy, Dallas, TX 75227",Prekindergarten - Grade 5,(972) 749-5700,http://www.dallasisd.org/callejo,2
Adelle Turner Elem,https://txschools.gov/?view=school&id=057905219&lng=en,Dallas ISD,"5505 S Polk St, Dallas, TX 75232",Prekindergarten - Grade 5,(972) 794-6300,http://www.dallasisd.org/turner,2
